iter:1   sigmaHat = 0.516428
iter:2   sigmaHat = 0.515832
iter:3   sigmaHat = 0.51721
iter:4   sigmaHat = 0.519243
iter:5   sigmaHat = 0.521316
iter:6   sigmaHat = 0.523661
iter:7   sigmaHat = 0.526304
iter:8   sigmaHat = 0.529029
iter:9   sigmaHat = 0.532247
iter:10   sigmaHat = 0.535975
iter:11   sigmaHat = 0.539842
iter:12   sigmaHat = 0.543637
iter:13   sigmaHat = 0.547959
iter:14   sigmaHat = 0.552602
iter:15   sigmaHat = 0.55792
iter:16   sigmaHat = 0.563845
iter:17   sigmaHat = 0.57048
iter:18   sigmaHat = 0.577635
iter:19   sigmaHat = 0.585432
iter:20   sigmaHat = 0.593662
iter:21   sigmaHat = 0.604438
iter:22   sigmaHat = 0.615738
iter:23   sigmaHat = 0.629256
iter:24   sigmaHat = 0.645276
iter:25   sigmaHat = 0.660858
iter:26   sigmaHat = 0.678495
iter:27   sigmaHat = 0.695543
iter:28   sigmaHat = 0.714779
iter:29   sigmaHat = 0.735347
iter:30   sigmaHat = 0.757296
iter:31   sigmaHat = 0.783003
iter:32   sigmaHat = 0.808761
iter:33   sigmaHat = 0.828766
iter:34   sigmaHat = 0.842217
iter:35   sigmaHat = 0.849438
iter:36   sigmaHat = 0.853499
iter:37   sigmaHat = 0.854648
iter:38   sigmaHat = 0.854713
iter:39   sigmaHat = 0.854713
iter:40   sigmaHat = 0.854713
iter:41   sigmaHat = 0.854713
iter:42   sigmaHat = 0.854713
iter:43   sigmaHat = 0.854713
iter:44   sigmaHat = 0.854713
Point70:[ -0.558834 , -0.776159 ]cosTheta:0.0504235
Point71:[ 0.216627 , 0.297862 ]cosTheta:0.0882046
Point72:[ 2.44634e-11 , 1.6309e-11 ]cosTheta:0.399729
Point73:[ -2.44634e-11 , -1.6309e-11 ]cosTheta:0.399729
Point74:[ -0.216627 , -0.297862 ]cosTheta:0.0882046
Point75:[ 0.558834 , 0.776159 ]cosTheta:0.0504235
Point76:[ 0.00366943 , 0.00366943 ]cosTheta:0.191799
Point77:[ -2.40012e-10 , -1.60008e-10 ]cosTheta:0.373786
Point78:[ -0.45539 , -0.683085 ]cosTheta:0.0694607
Point79:[ 0.45539 , 0.683085 ]cosTheta:0.0694607
Point80:[ 2.40012e-10 , 1.60008e-10 ]cosTheta:0.373786
Point81:[ -0.00366943 , -0.00366943 ]cosTheta:0.191799
Point82:[ -0.558834 , -0.776159 ]cosTheta:0.0504235
Point83:[ 0.216627 , 0.297862 ]cosTheta:0.0882046
Point84:[ 2.44634e-11 , 1.6309e-11 ]cosTheta:0.399729
Point85:[ -2.44634e-11 , -1.6309e-11 ]cosTheta:0.399729
Point86:[ -0.216627 , -0.297862 ]cosTheta:0.0882046
Point87:[ 0.558834 , 0.776159 ]cosTheta:0.0504235
Point88:[ 0.00366943 , 0.00366943 ]cosTheta:0.191799
Point89:[ -2.40012e-10 , -1.60008e-10 ]cosTheta:0.373786
Point90:[ -0.45539 , -0.683085 ]cosTheta:0.0694607
Point91:[ 0.45539 , 0.683085 ]cosTheta:0.0694607
Point92:[ 0 , 1.18152e-29 ]cosTheta:0.659087
Point93:[ -0.00366943 , -0.00366943 ]cosTheta:0.191799
Point94:[ -0.259493 , -0.284206 ]cosTheta:0.0948407
Point95:[ 0.324805 , 0.561027 ]cosTheta:0.0564449
Point96:[ 1.3659e-11 , 4.0977e-11 ]cosTheta:0.388095
Point97:[ -2.62361e-13 , -1.3118e-13 ]cosTheta:0.438954
Point98:[ -0.00465274 , -0.00420962 ]cosTheta:0.189217
Point99:[ 0.630972 , 1.15678 ]cosTheta:0.00253157
Point100:[ 0.00409822 , 0.00409822 ]cosTheta:0.171919
Point101:[ -6.12027e-12 , -3.06013e-12 ]cosTheta:0.408926
Point102:[ -0.00674214 , -0.00636758 ]cosTheta:0.178862
Point103:[ 0.19108 , 0.343943 ]cosTheta:0.0646791
Point104:[ 4.47303e-66 , -2.23652e-66 ]cosTheta:0.995892
Point105:[ -0.345947 , -0.518921 ]cosTheta:0.0426624
Point106:[ 0.270146 , 0.926216 ]cosTheta:0.0492835
Point107:[ 0.0294356 , 0.0588711 ]cosTheta:0.119184
Point108:[ -0.0207397 , -0.0290356 ]cosTheta:0.142343
Point109:[ 0.15059 , 0.652556 ]cosTheta:0.0534042
Point110:[ -2.53503e-48 , 2.53503e-48 ]cosTheta:0.847103
Point111:[ -0.351869 , -0.844487 ]cosTheta:0.0131255
Point112:[ 0 , 0.000977866 ]cosTheta:0.212345
Point113:[ -2.03102e-40 , -1.35402e-40 ]cosTheta:0.77397
Point114:[ -6.91578e-05 , -0.000124484 ]cosTheta:0.244831
Point115:[ -4.7738e-08 , 3.81904e-07 ]cosTheta:0.30788
Point116:[ -0.0700504 , -0.350252 ]cosTheta:0.0114015
Point117:[ 0.0700504 , 0.350252 ]cosTheta:0.0114015
Point118:[ 4.7738e-08 , -3.81904e-07 ]cosTheta:0.30788
Point119:[ 6.91578e-05 , 0.000124484 ]cosTheta:0.244831
Point120:[ 2.03102e-40 , 1.35402e-40 ]cosTheta:0.77397
Point121:[ 0 , -0.000977866 ]cosTheta:0.212345
Point122:[ 0.351869 , 0.844487 ]cosTheta:0.0131255
Point123:[ -0.00240068 , -0.00480136 ]cosTheta:0.157115
Point124:[ -0.15059 , -0.652556 ]cosTheta:0.0534042
Point125:[ 4.50011e-07 , 3.60009e-06 ]cosTheta:0.282823
Point126:[ -7.37076e-06 , -8.84492e-06 ]cosTheta:0.269008
Point127:[ -0.52914 , -1.35225 ]cosTheta:0.00184887
Point128:[ 0.103324 , 0.327194 ]cosTheta:0.0863019
Point129:[ -2.05659e-40 , 4.11319e-40 ]cosTheta:0.768902
Point130:[ -0.0720355 , -0.135067 ]cosTheta:0.108493
Point131:[ 0.000548942 , 0.000768519 ]cosTheta:0.208998
Point132:[ 0 , -1.94211e-10 ]cosTheta:0.374601
Point133:[ 0.0229638 , 0.0417523 ]cosTheta:0.147904
Point134:[ 1.57094e-16 , 1.57094e-16 ]cosTheta:0.484337
Point135:[ -0.0245393 , -0.122696 ]cosTheta:0.108467
Point136:[ 0.351869 , 0.844487 ]cosTheta:0.0131255
Point137:[ 2.53503e-48 , -2.53503e-48 ]cosTheta:0.847103
Point138:[ -0.15059 , -0.652556 ]cosTheta:0.0534042
Point139:[ 0.0207397 , 0.0290356 ]cosTheta:0.142343
Point140:[ -0.0294356 , -0.0588711 ]cosTheta:0.119184
Point141:[ -0.270146 , -0.926216 ]cosTheta:0.0492835
Point142:[ 0.216897 , 0.460907 ]cosTheta:0.0612781
Point143:[ -4.47303e-66 , 2.23652e-66 ]cosTheta:0.995892
Point144:[ -0.19108 , -0.343943 ]cosTheta:0.0646791
Point145:[ 0.297806 , 0.397075 ]cosTheta:0.07847
Point146:[ 0.00409822 , 0.00409822 ]cosTheta:0.171919
Point147:[ -0.00409822 , -0.00409822 ]cosTheta:0.171919
Point148:[ -0.630972 , -1.15678 ]cosTheta:0.00253157
Point149:[ 0.000216429 , 0.000216429 ]cosTheta:0.22655
Point150:[ -0.00947969 , -0.00947969 ]cosTheta:0.114856
Point151:[ -0.386802 , -0.562622 ]cosTheta:0.0484427
Point152:[ 0.386802 , 0.562622 ]cosTheta:0.0484427
Point153:[ 0.00947969 , 0.00947969 ]cosTheta:0.114856
Point154:[ -0.000216429 , -0.000216429 ]cosTheta:0.22655
Point155:[ 0.297806 , 0.397075 ]cosTheta:0.07847
Point156:[ 0.00409822 , 0.00409822 ]cosTheta:0.171919
Point157:[ -0.00409822 , -0.00409822 ]cosTheta:0.171919
Point158:[ -0.297806 , -0.397075 ]cosTheta:0.07847
Point159:[ 0.000216429 , 0.000216429 ]cosTheta:0.22655
Point160:[ -0.00947969 , -0.00947969 ]cosTheta:0.114856
Point161:[ -0.386802 , -0.562622 ]cosTheta:0.0484427
Point162:[ 0.386802 , 0.562622 ]cosTheta:0.0484427
Point163:[ 0.00947969 , 0.00947969 ]cosTheta:0.114856
Point164:[ -0.000216429 , -0.000216429 ]cosTheta:0.22655
Point165:[ 0.297806 , 0.397075 ]cosTheta:0.07847
Point166:[ 0.00409822 , 0.00409822 ]cosTheta:0.171919
Point167:[ -0.00409822 , -0.00409822 ]cosTheta:0.171919
Point168:[ -0.297806 , -0.397075 ]cosTheta:0.07847
Point169:[ 0.000216429 , 0.000216429 ]cosTheta:0.22655
Point170:[ -0.00947969 , -0.00947969 ]cosTheta:0.114856
Point171:[ -0.386802 , -0.562622 ]cosTheta:0.0484427
Point172:[ 0.386802 , 0.562622 ]cosTheta:0.0484427
Point173:[ 0.00947969 , 0.00947969 ]cosTheta:0.114856
Point174:[ -0.000216429 , -0.000216429 ]cosTheta:0.22655
Point175:[ 0.630972 , 1.15678 ]cosTheta:0.00253157
Point176:[ 0.00409822 , 0.00409822 ]cosTheta:0.171919
Point177:[ -0.00409822 , -0.00409822 ]cosTheta:0.171919
Point178:[ -0.297806 , -0.397075 ]cosTheta:0.07847
Point179:[ 2.11702e-15 , 1.15474e-15 ]cosTheta:0.478852
Point180:[ 6.49018e-10 , 9.61508e-11 ]cosTheta:0.383807
Point181:[ 0.19108 , 0.343943 ]cosTheta:0.0646791
Point182:[ 4.47303e-66 , -2.23652e-66 ]cosTheta:0.995892
Point183:[ -0.216897 , -0.460907 ]cosTheta:0.0612781
Point184:[ 1.01463e-40 , 1.14146e-40 ]cosTheta:0.782178
Point185:[ 2.85245e-21 , 2.59313e-22 ]cosTheta:0.560589
Point186:[ 0.283436 , -0.0500181 ]cosTheta:0.0928308
Point187:[ 1.1116e-05 , 8.77581e-06 ]cosTheta:0.273588
Point188:[ 4.34477e-13 , 3.47582e-13 ]cosTheta:0.429669
Point189:[ -0.0207397 , -0.0290356 ]cosTheta:0.142343
Point190:[ -2.15022e-13 , 1.34389e-12 ]cosTheta:0.432585
Point191:[ -1.78234e-23 , 5.34702e-23 ]cosTheta:0.58471
Point192:[ -5.56384e-22 , 7.41845e-22 ]cosTheta:0.56214
Point193:[ -3.7105e-66 , -1.11315e-65 ]cosTheta:0.997528
Point194:[ 3.9522e-57 , -1.9761e-56 ]cosTheta:0.921025
Point195:[ 1.02745e-10 , -5.13726e-11 ]cosTheta:0.382101
Point196:[ 0.612133 , -0.0874476 ]cosTheta:0.0160874
Point197:[ 2.33477e-05 , 2.59419e-06 ]cosTheta:0.263025
Point198:[ 0.504869 , -0.0673158 ]cosTheta:0.0642349
Point199:[ 0.816459 , -0.148447 ]cosTheta:0.0554141
Point200:[ 0.000170969 , 0.000132976 ]cosTheta:0.241125
Point201:[ 4.15575e-38 , -8.3115e-38 ]cosTheta:0.747275
Point202:[ -0.351869 , -0.844487 ]cosTheta:0.0131255
Point203:[ -5.4195e-07 , 6.05709e-07 ]cosTheta:0.319431
Point204:[ -1.5959 , 0.569965 ]cosTheta:0.0178123
Point205:[ -0.000977866 , 0 ]cosTheta:0.212345
Point206:[ -3.16114e-12 , -1.05371e-12 ]cosTheta:0.417232
Point207:[ -8.0163e-09 , -2.29037e-09 ]cosTheta:0.347398
Point208:[ -1.02745e-10 , 5.13726e-11 ]cosTheta:0.382101
Point209:[ -1.11126e-07 , 5.55632e-08 ]cosTheta:0.307905
Point210:[ -2.29876e-47 , 4.59753e-47 ]cosTheta:0.835959
Point211:[ 0.00940248 , 0 ]cosTheta:0.118373
Point212:[ 0.00885006 , 0 ]cosTheta:0.157012
Point213:[ 2.66868e-11 , 6.6717e-12 ]cosTheta:0.398237
Point214:[ 2.09079e-06 , 2.09079e-07 ]cosTheta:0.290803
Point215:[ 0.000775111 , 0.000119248 ]cosTheta:0.21718
Point216:[ 1.05992 , 0 ]cosTheta:0
Point217:[ 1.05992 , 0 ]cosTheta:0
Point218:[ 1.05992 , 0 ]cosTheta:0
Point219:[ 0.356046 , 0.118682 ]cosTheta:0.080532
Point220:[ 0.567956 , 0.283978 ]cosTheta:0.00637484
Point221:[ 1.10109e-45 , -1.83516e-46 ]cosTheta:0.825898
Point222:[ 0 , -8.38506e-07 ]cosTheta:0.30057
Point223:[ 0 , -0.00337897 ]cosTheta:0.207498
Point224:[ -0.0836651 , 0.0295289 ]cosTheta:0.130168
Point225:[ -0.914484 , 0.249405 ]cosTheta:0.00399496
Point226:[ -0.149152 , 0.0559321 ]cosTheta:0.0972223
Point227:[ -0.000272398 , 0.000108959 ]cosTheta:0.218779
Point228:[ -0.17556 , 0.0438901 ]cosTheta:0.0531061
Point229:[ -1.0676e-50 , 2.1352e-50 ]cosTheta:0.865501
Point230:[ 0 , 0 ]cosTheta:1
Point231:[ 0 , 0 ]cosTheta:1
Point232:[ 2.37511e-40 , 2.37511e-40 ]cosTheta:0.772775
Point233:[ 1.04519e-59 , 2.61298e-59 ]cosTheta:0.943706
Point234:[ 7.38303e-46 , 1.10745e-45 ]cosTheta:0.823072
Point235:[ 3.57077e-31 , -7.14153e-31 ]cosTheta:0.668413
Point236:[ 3.61884e-05 , -0.00047045 ]cosTheta:0.220342
Point237:[ -0.182302 , 0.0607673 ]cosTheta:0.113599
Point238:[ -0.172698 , 0.0575661 ]cosTheta:0.113758
Point239:[ -0.403937 , 0.0807874 ]cosTheta:0.0931573
Point240:[ -1.05992 , 0 ]cosTheta:0
Point241:[ -1.11508 , 0.159297 ]cosTheta:0.0453088
Point242:[ -0.0308092 , 0.0140042 ]cosTheta:0.142448
Point243:[ -0.0954505 , 0.035794 ]cosTheta:0.0977363
Point244:[ -1.3569e-66 , -6.78451e-67 ]cosTheta:0.999869
Point245:[ -3.61884e-05 , -0.00047045 ]cosTheta:0.220342
Point246:[ -0.0518807 , 0.0432339 ]cosTheta:0.141834
Point247:[ -0.000774124 , 0.00103216 ]cosTheta:0.197634
Point248:[ 0 , -5.20537e-05 ]cosTheta:0.254929
Point249:[ 0.0823799 , -0.796339 ]cosTheta:0.0532291
Point250:[ -0.132833 , 0.199249 ]cosTheta:0.105396
Point251:[ 0.11051 , -0.331531 ]cosTheta:0
Point252:[ 0.038735 , -0.0774701 ]cosTheta:0.141885
Point253:[ -0.038735 , 0.0774701 ]cosTheta:0.141885
Point254:[ -0.11051 , 0.331531 ]cosTheta:7.89938e-17
Point255:[ 0.485386 , -1.33481 ]cosTheta:0.00310253
Point256:[ -0.314315 , 0.676985 ]cosTheta:0.0672207
Point257:[ -0.345051 , 0.920135 ]cosTheta:0.0173868
Point258:[ 0 , -5.20537e-05 ]cosTheta:0.254929
Point259:[ 0.00705635 , -0.0493944 ]cosTheta:0.149318
Point260:[ -0.338137 , 0.619917 ]cosTheta:0.0569417
Point261:[ -1.03746e-42 , -1.38329e-42 ]cosTheta:0.798042
Point262:[ 0.15059 , -0.652556 ]cosTheta:0.0534042
Point263:[ -2.56229e-07 , 3.62992e-07 ]cosTheta:0.313238
Point264:[ -9.29388e-64 , 0 ]cosTheta:0.980302
Point265:[ 0 , -0.000977866 ]cosTheta:0.212345
Point266:[ -2.16901e-27 , 2.16901e-27 ]cosTheta:0.632082
Point267:[ -1.05371e-12 , -3.16114e-12 ]cosTheta:0.417232
Point268:[ 0 , 0.0161353 ]cosTheta:0.149523
Point269:[ 0 , -0.0161353 ]cosTheta:0.149523
Point270:[ 1.05371e-12 , 3.16114e-12 ]cosTheta:0.417232
Point271:[ 2.16901e-27 , -2.16901e-27 ]cosTheta:0.632082
Point272:[ 0 , 0.000977866 ]cosTheta:0.212345
Point273:[ 2.03102e-40 , -1.35402e-40 ]cosTheta:0.77397
Point274:[ 6.91578e-05 , -0.000124484 ]cosTheta:0.244831
Point275:[ -0.15059 , 0.652556 ]cosTheta:0.0534042
Point276:[ 2.53503e-48 , 2.53503e-48 ]cosTheta:0.847103
Point277:[ 0.351869 , -0.844487 ]cosTheta:0.0131255
Point278:[ -0.0246046 , 0.153779 ]cosTheta:0.119629
Point279:[ 0 , 7.85154e-05 ]cosTheta:0.239585
Point280:[ 0.180921 , -0.542763 ]cosTheta:0.0365122
Point281:[ -0.180921 , 0.542763 ]cosTheta:0.0365122
Point282:[ 0 , -7.85154e-05 ]cosTheta:0.239585
Point283:[ 0.0246046 , -0.153779 ]cosTheta:0.119629
Point284:[ -0.351869 , 0.844487 ]cosTheta:0.0131255
Point285:[ -1.27829e-65 , -5.11317e-66 ]cosTheta:0.996583
Point286:[ 0.15059 , -0.652556 ]cosTheta:0.0534042
Point287:[ -0.0356639 , 0.0713279 ]cosTheta:0.135298
Point288:[ -7.65019e-12 , 1.02002e-11 ]cosTheta:0.400563
Point289:[ 0 , -8.97676e-09 ]cosTheta:0.347967
Point290:[ -0.0839449 , 0.181881 ]cosTheta:0.0939828
Point291:[ 0.0134818 , -0.053927 ]cosTheta:0.103933
Point292:[ -0.0703431 , 0.140686 ]cosTheta:0.0162286
Point293:[ 0.333193 , -0.777449 ]cosTheta:0.001678
