area:11200
k = 21
Point41: deltaX:[ 0.0869565 , -0.0869565 ] cosTheta:[6.20677e-16] ui:[ 0.0869565 , -0.0869565 ] sigma:[0.545541]
Point42: deltaX:[ 0.238095 , -0.238095 ] cosTheta:[0] ui:[ 0.238095 , -0.238095 ] sigma:[0.615431]
Point43: deltaX:[ 0.708333 , -0.708333 ] cosTheta:[2.2166e-16] ui:[ 0.708333 , -0.708333 ] sigma:[0.698662]
Point44: deltaX:[ 1.04167 , -1.04167 ] cosTheta:[3.01458e-16] ui:[ 1.04167 , -1.04167 ] sigma:[0.763251]
Point45: deltaX:[ 0 , 1.2381 ] cosTheta:[0] ui:[ 0 , 1.2381 ] sigma:[0.757158]
Point46: deltaX:[ 0 , 0.590909 ] cosTheta:[0] ui:[ 0 , 0.590909 ] sigma:[0.649364]
Point47: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point48: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point49: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point50: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point51: deltaX:[ 0.0869565 , -0.0869565 ] cosTheta:[6.20677e-16] ui:[ 0.0869565 , -0.0869565 ] sigma:[0.545541]
Point52: deltaX:[ 0.238095 , -0.238095 ] cosTheta:[0] ui:[ 0.238095 , -0.238095 ] sigma:[0.615431]
Point53: deltaX:[ 0.708333 , -0.708333 ] cosTheta:[2.2166e-16] ui:[ 0.708333 , -0.708333 ] sigma:[0.698662]
Point54: deltaX:[ 1.04167 , -1.04167 ] cosTheta:[3.01458e-16] ui:[ 1.04167 , -1.04167 ] sigma:[0.763251]
Point55: deltaX:[ 0 , 1.2381 ] cosTheta:[0] ui:[ 0 , 1.2381 ] sigma:[0.757158]
Point56: deltaX:[ 0 , 0.590909 ] cosTheta:[0] ui:[ 0 , 0.590909 ] sigma:[0.649364]
Point57: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point58: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point59: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point60: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point61: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point62: deltaX:[ 0.0869565 , -0.0869565 ] cosTheta:[6.20677e-16] ui:[ 0.0869565 , -0.0869565 ] sigma:[0.545541]
Point63: deltaX:[ 0.238095 , -0.238095 ] cosTheta:[0] ui:[ 0.238095 , -0.238095 ] sigma:[0.615431]
Point64: deltaX:[ 0.708333 , -0.708333 ] cosTheta:[2.2166e-16] ui:[ 0.708333 , -0.708333 ] sigma:[0.698662]
Point65: deltaX:[ 1.04167 , -1.04167 ] cosTheta:[3.01458e-16] ui:[ 1.04167 , -1.04167 ] sigma:[0.763251]
Point66: deltaX:[ 0 , 1.2381 ] cosTheta:[0] ui:[ 0 , 1.2381 ] sigma:[0.757158]
Point67: deltaX:[ 0 , 0.590909 ] cosTheta:[0] ui:[ 0 , 0.590909 ] sigma:[0.649364]
Point68: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point69: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point70: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point71: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point72: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point73: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point74: deltaX:[ 0.0869565 , -0.0869565 ] cosTheta:[6.20677e-16] ui:[ 0.0869565 , -0.0869565 ] sigma:[0.545541]
Point75: deltaX:[ 0.238095 , -0.238095 ] cosTheta:[0] ui:[ 0.238095 , -0.238095 ] sigma:[0.615431]
Point76: deltaX:[ 0.708333 , -0.708333 ] cosTheta:[2.2166e-16] ui:[ 0.708333 , -0.708333 ] sigma:[0.698662]
Point77: deltaX:[ 1.04167 , -1.04167 ] cosTheta:[3.01458e-16] ui:[ 1.04167 , -1.04167 ] sigma:[0.763251]
Point78: deltaX:[ 0 , 1.2381 ] cosTheta:[0] ui:[ 0 , 1.2381 ] sigma:[0.757158]
Point79: deltaX:[ 0 , 0.590909 ] cosTheta:[0] ui:[ 0 , 0.590909 ] sigma:[0.649364]
Point80: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point81: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point82: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point83: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point84: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point85: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point86: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point87: deltaX:[ 0.0869565 , -0.0869565 ] cosTheta:[6.20677e-16] ui:[ 0.0869565 , -0.0869565 ] sigma:[0.545541]
Point88: deltaX:[ 0.238095 , -0.238095 ] cosTheta:[0] ui:[ 0.238095 , -0.238095 ] sigma:[0.615431]
Point89: deltaX:[ 0.708333 , -0.708333 ] cosTheta:[2.2166e-16] ui:[ 0.708333 , -0.708333 ] sigma:[0.698662]
Point90: deltaX:[ 1.04167 , -1.04167 ] cosTheta:[3.01458e-16] ui:[ 1.04167 , -1.04167 ] sigma:[0.763251]
Point91: deltaX:[ 0 , 1.2381 ] cosTheta:[0] ui:[ 0 , 1.2381 ] sigma:[0.757158]
Point92: deltaX:[ 0 , 0.590909 ] cosTheta:[0] ui:[ 0 , 0.590909 ] sigma:[0.649364]
Point93: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point94: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point95: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point96: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point97: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point98: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point99: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point100: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point101: deltaX:[ 0.0869565 , -0.0869565 ] cosTheta:[6.20677e-16] ui:[ 0.0869565 , -0.0869565 ] sigma:[0.545541]
Point102: deltaX:[ 0.238095 , -0.238095 ] cosTheta:[0] ui:[ 0.238095 , -0.238095 ] sigma:[0.615431]
Point103: deltaX:[ 0.708333 , -0.708333 ] cosTheta:[2.2166e-16] ui:[ 0.708333 , -0.708333 ] sigma:[0.698662]
Point104: deltaX:[ 1.04167 , -1.04167 ] cosTheta:[3.01458e-16] ui:[ 1.04167 , -1.04167 ] sigma:[0.763251]
Point105: deltaX:[ 0 , 1.2381 ] cosTheta:[0] ui:[ 0 , 1.2381 ] sigma:[0.757158]
Point106: deltaX:[ 0 , 0.590909 ] cosTheta:[0] ui:[ 0 , 0.590909 ] sigma:[0.649364]
Point107: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point108: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point109: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point110: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point111: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point112: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point113: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point114: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point115: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point116: deltaX:[ 0.0869565 , -0.0869565 ] cosTheta:[6.20677e-16] ui:[ 0.0869565 , -0.0869565 ] sigma:[0.545541]
Point117: deltaX:[ 0.238095 , -0.238095 ] cosTheta:[0] ui:[ 0.238095 , -0.238095 ] sigma:[0.615431]
Point118: deltaX:[ 0.708333 , -0.708333 ] cosTheta:[2.2166e-16] ui:[ 0.708333 , -0.708333 ] sigma:[0.698662]
Point119: deltaX:[ 1.04167 , -1.04167 ] cosTheta:[3.01458e-16] ui:[ 1.04167 , -1.04167 ] sigma:[0.763251]
Point120: deltaX:[ 0 , 1.2381 ] cosTheta:[0] ui:[ 0 , 1.2381 ] sigma:[0.757158]
Point121: deltaX:[ 0 , 0.590909 ] cosTheta:[0] ui:[ 0 , 0.590909 ] sigma:[0.649364]
Point122: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point123: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point124: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point125: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point126: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point127: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
Point128: deltaX:[ 0 , 0 ] cosTheta:[0] ui:[ 0 , 0 ] sigma:[0]
