Point44: deltaX:[ 2.80987 , 0.936623 ] cosTheta:[1.6879e-16] ui:[ 1.56 , 0.52 ] sigma:[0.78869]
Point45: deltaX:[ 1.8429 , 0.75884 ] cosTheta:[0.000441879] ui:[ 1.0625 , 0.4375 ] sigma:[0.753256]
Point46: deltaX:[ 0.882231 , 0.330836 ] cosTheta:[0.0141155] ui:[ 0.888889 , 0.333333 ] sigma:[0.705442]
Point47: deltaX:[ 0.745738 , 0.149148 ] cosTheta:[0.0106905] ui:[ 0.75 , 0.15 ] sigma:[0.683803]
Point48: deltaX:[ 0.545455 , 0.181818 ] cosTheta:[2.89644e-16] ui:[ 0.545455 , 0.181818 ] sigma:[0.647059]
Point49: deltaX:[ 0.375 , 0.125 ] cosTheta:[7.02167e-17] ui:[ 0.375 , 0.125 ] sigma:[0.611765]
Point50: deltaX:[ 0.278394 , 0.119312 ] cosTheta:[0.0107262] ui:[ 0.28 , 0.12 ] sigma:[0.586363]
Point51: deltaX:[ 0.189944 , 0.0759775 ] cosTheta:[0.0157279] ui:[ 0.192308 , 0.0769231 ] sigma:[0.555802]
Point52: deltaX:[ 0.111111 , 0 ] cosTheta:[0] ui:[ 0.111111 , 0 ] sigma:[0.536842]
Point53: deltaX:[ 0.111111 , 0 ] cosTheta:[0] ui:[ 0.111111 , 0 ] sigma:[0.536842]
Point54: deltaX:[ 0.111111 , 0 ] cosTheta:[0] ui:[ 0.111111 , 0 ] sigma:[0.536842]
Point55: deltaX:[ 0.111111 , 0 ] cosTheta:[0] ui:[ 0.111111 , 0 ] sigma:[0.536842]
Point56: deltaX:[ 0.111111 , 0 ] cosTheta:[0] ui:[ 0.111111 , 0 ] sigma:[0.536842]
Point57: deltaX:[ 0.111111 , 0 ] cosTheta:[0] ui:[ 0.111111 , 0 ] sigma:[0.536842]
Point58: deltaX:[ 0.111111 , 0 ] cosTheta:[0] ui:[ 0.111111 , 0 ] sigma:[0.536842]
Point59: deltaX:[ 0.111111 , 0 ] cosTheta:[0] ui:[ 0.111111 , 0 ] sigma:[0.536842]
